PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Andre Holmes, Oak WR		NOMS			@Cle	L 13-23		0/0	0	0	0		0	0	0		5	69	1	7		0	0	0		12
Russell Wilson, Sea QB		DC00			@Car	W 13-9		20/32	199	1	1		6	35	0		0	0	0	0		0	0	0		12
Ronnie Hillman*, Den RB  O		WA (Wed)			SD	W 35-21		0/0	0	0	0		20	109	0		3	29	0	4		0	0	0		12
Andre Ellington, Ari RB  P		RUCK			Phi	W 24-20		0/0	0	0	0		23	71	1		3	14	0	6		0	1	0		12
Tim Wright, NE TE		WA (Wed)			Chi	W 51-23		0/0	0	0	0		1	-2	0		7	61	1	7		0	0	0		12
Cairo Santos, KC K		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Patriots D/ST D/ST		GREG			Chi	W 51-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		12
Seahawks D/ST D/ST		LIND			@Car	W 13-9		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Matt Prater, Det K		BALS			@Atl	W 22-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		11
Jimmy Graham, NO TE		NOMS			GB	W 44-23		0/0	0	0	0		0	0	0		5	59	1	6		0	0	0		11
Alshon Jeffery, Chi WR  P		NOMS			@NE	L 23-51		0/0	0	0	0		0	0	0		5	59	1	8		0	0	0		11
Markus Wheaton, Pit WR		WA (Wed)			Ind	W 51-34		0/0	0	0	0		0	0	0		5	56	1	5		0	0	0		11
Robert Woods, Buf WR		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		0	0	0		3	50	1	3		0	0	0		11
Denard Robinson, Jac RB		WA (Wed)			Mia	L 13-27		0/0	0	0	0		18	108	0		1	10	0	2		0	0	0		11
Browns D/ST D/ST		WA (Wed)			Oak	W 23-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		11
Adam Vinatieri, Ind K		NOMS			@Pit	L 34-51		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Alex Smith, KC QB		WA (Wed)			StL	W 34-7		25/29	223	0	0		3	24	0		0	0	0	0		0	0	0		10
Graham Gano, Car K		WA (Wed)			Sea	L 9-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Demaryius Thomas, Den WR		Solo			SD	W 35-21		0/0	0	0	0		0	0	0		8	105	0	12		0	0	0		10
Kai Forbath, Wsh K		WA (Wed)			@Dal	W 20-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Giovani Bernard, Cin RB  P		NOMS			Bal	W 27-24		0/0	0	0	0		16	45	1		2	2	0	2		0	0	0		10
Caleb Sturgis, Mia K		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Blake Bortles, Jac QB  P		WA (Wed)			Mia	L 13-27		18/34	221	1	2		6	48	0		0	0	0	0		0	1	0		10
Cody Parkey, Phi K		WA (Wed)			@Ari	L 20-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Patrick Murray, TB K		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Steelers D/ST D/ST		NOMS			Ind	W 51-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		10
Mike Nugent, Cin K		GREG			Bal	W 27-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Greg Jennings, Min WR  P		CHB			@TB	W 19-13		0/0	0	0	0		0	0	0		3	38	1	6		0	0	0		9
Delanie Walker, Ten TE  P		PERO			Hou	L 16-30		0/0	0	0	0		0	0	0		4	37	1	9		0	0	0		9
Justin Forsett, Bal RB		PERO			@Cin	L 24-27		0/0	0	0	0		17	68	0		3	17	0	5		1	0	0		9
Steven Hauschka, Sea K		GREG			@Car	W 13-9		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
LeSean McCoy, Phi RB		DC00			@Ari	L 20-24		0/0	0	0	0		21	83	0		3	14	0	5		0	0	0		9
Dez Bryant, Dal WR		BOSS			Wsh	L 17-20		0/0	0	0	0		0	0	0		3	30	1	7		0	0	0		9
Lamar Miller, Mia RB  Q		NOMS			@Jac	W 27-13		0/0	0	0	0		14	78	0		3	21	0	3		0	0	0		9
DeAndre Hopkins, Hou WR		BOSS			@Ten	W 30-16		0/0	0	0	0		0	0	0		5	95	0	11		0	0	0		9
Cordarrelle Patterson, Min WR		BALS			@TB	W 19-13		0/0	0	0	0		1	10	0		6	86	0	12		0	0	0		9
Mike Glennon, TB QB		WA (Wed)			Min	L 13-19		19/28	171	1	1		3	13	0		0	0	0	0		0	0	0		9
Justin Hunter, Ten WR  Q		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		4	31	1	10		0	0	0		9
Kelvin Benjamin, Car WR		LIND			Sea	L 9-13		0/0	0	0	0		0	0	0		4	94	0	7		0	0	0		9
Redskins D/ST D/ST		RUCK			@Dal	W 20-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Sebastian Janikowski, Oak K		WA (Wed)			@Cle	L 13-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		8
Jonathan Stewart, Car RB		WA (Wed)			Sea	L 9-13		0/0	0	0	0		16	79	0		3	15	0	5		0	0	0		8
Ben Tate, Min RB		DC00			@TB	W 19-13		0/0	0	0	0		15	26	1		1	8	0	1		0	0	0		8
Riley Cooper, Phi WR		WA (Wed)			@Ari	L 20-24		0/0	0	0	0		0	0	0		5	88	0	9		0	0	0		8
Bilal Powell, NYJ RB		WA (Wed)			Buf	L 23-43		0/0	0	0	0		4	28	1		0	0	0	0		0	0	0		8
Dwayne Allen*, Ind TE  O		RUCK			@Pit	L 34-51		0/0	0	0	0		0	0	0		1	21	1	2		0	0	0		8
Austin Davis, StL QB		WA (Wed)			@KC	L 7-34		15/25	160	1	1		1	1	0		0	0	0	0		0	0	0		8
Jonas Gray, NE RB  P		WA (Wed)			Chi	W 51-23		0/0	0	0	0		17	86	0		0	0	0	0		0	0	0		8
Mychal Rivera, Oak TE		WA (Wed)			@Cle	L 13-23		0/0	0	0	0		0	0	0		7	83	0	9		0	0	0		8
Luke Willson, Sea TE		WA (Wed)			@Car	W 13-9		0/0	0	0	0		0	0	0		1	23	1	4		0	0	0		8
Jerick McKinnon, Min RB  P		BOSS			@TB	W 19-13		0/0	0	0	0		16	83	0		1	-1	0	1		0	0	0		8
Panthers D/ST D/ST		WA (Wed)			Sea	L 9-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		8
Josh Scobee, Jac K		WA (Wed)			Mia	L 13-27		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Shaun Suisham, Pit K		WA (Wed)			Ind	W 51-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Scott Chandler, Buf TE		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		0	0	0		1	12	1	2		0	0	0		7
Nick Folk, NYJ K		WA (Wed)			Buf	L 23-43		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Blair Walsh, Min K		Solo			@TB	W 19-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Mike Evans, TB WR		WA (Wed)			Min	L 13-19		0/0	0	0	0		0	0	0		4	78	0	7		0	0	0		7
Davante Adams, GB WR		WA (Wed)			@NO	L 23-44		0/0	0	0	0		0	0	0		7	75	0	9		0	0	0		7
Bengals D/ST D/ST		PERO			Bal	W 27-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Texans D/ST D/ST		PERO			@Ten	W 30-16		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Michael Vick, NYJ QB		WA (Wed)			Buf	L 23-43		18/36	153	0	1		8	69	0		0	0	0	0		0	2	0		6
Roddy White, Atl WR		NOMS			Det	L 21-22		0/0	0	0	0		0	0	0		5	66	0	6		0	0	0		6
Nate Washington, Ten WR		WA (Wed)			Hou	L 16-30		0/0	0	0	0		0	0	0		4	68	0	4		0	0	0		6
Marshawn Lynch, Sea RB  P		LIND			@Car	W 13-9		0/0	0	0	0		14	62	0		1	2	0	4		0	0	0		6
Dwayne Bowe, KC WR		WA (Wed)			StL	W 34-7		0/0	0	0	0		0	0	0		6	64	0	6		0	0	0		6
James Jones, Oak WR		Solo			@Cle	L 13-23		0/0	0	0	0		0	0	0		6	62	0	11		0	0	0		6
Bear Pascoe, Atl TE		WA (Wed)			Det	L 21-22		0/0	0	0	0		0	0	0		1	1	1	1		0	0	0		6
Frank Summers, Buf RB  P		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		1	2	1		0	0	0	0		0	0	0		6
Lance Kendricks, StL TE		WA (Wed)			@KC	L 7-34		0/0	0	0	0		0	0	0		1	1	1	1		0	0	0		6
Lee Smith, Buf TE		WA (Wed)			@NYJ	W 43-23		0/0	0	0	0		0	0	0		2	5	1	2		0	0	0		6
Doug Baldwin, Sea WR		BOSS			@Car	W 13-9		0/0	0	0	0		0	0	0		6	61	0	8		0	0	0		6
Brandon Weeden, Dal QB		WA (Wed)			Wsh	L 17-20		4/6/2014	69	1	0		1	0	0		0	0	0	0		0	0	0		6
Rishard Matthews, Mia WR		WA (Wed)			@Jac	W 27-13		0/0	0	0	0		0	0	0		1	3	1	2		0	0	0		6
Bobby Rainey, TB RB		WA (Wed)			Min	L 13-19		0/0	0	0	0		8	25	0		6	41	0	6		0	0	0		6
