"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"RB","Jerick McKinnon",4500,"GB@Min 01:00PM ET",9.100
"TE","Jason Witten",4400,"Dal@NYG 08:30PM ET",10.010
"RB","Reggie Bush",4400,"Det@NE 01:00PM ET",9.714
"WR","Jarvis Landry",4400,"Mia@Den 04:25PM ET",9.660
"WR","Marques Colston",4200,"Bal@NO 08:30PM ET",9.860
"WR","Wes Welker",4200,"Mia@Den 04:25PM ET",7.800
"WR","Pierre Garcon",4200,"Was@SF 04:25PM ET",11.040
"RB","Montee Ball",4200,"Mia@Den 04:25PM ET",7.480
"WR","Kenny Stills",4200,"Bal@NO 08:30PM ET",9.900
"RB","Tre Mason",4200,"StL@SD 04:05PM ET",9.867
"WR","Taylor Gabriel",4200,"Cle@Atl 01:00PM ET",8.830
"RB","Doug Martin",4100,"TB@Chi 01:00PM ET",7.400
"RB","Steven Jackson",4000,"Cle@Atl 01:00PM ET",9.270
"TE","Martellus Bennett",4000,"TB@Chi 01:00PM ET",14.710
"TE","Charles Clay",4000,"Mia@Den 04:25PM ET",8.560
"RB","Branden Oliver",4000,"StL@SD 04:05PM ET",13.113
"TE","Larry Donnell",3900,"Dal@NYG 08:30PM ET",12.070
"RB","Roy Helu Jr.",3900,"Was@SF 04:25PM ET",9.650
"WR","Michael Floyd",3900,"Ari@Sea 04:05PM ET",10.160
"RB","Pierre Thomas",3800,"Bal@NO 08:30PM ET",12.950
"RB","Chris Ivory",3800,"NYJ@Buf 07:00PM ET",11.310
"WR","Terrance Williams",3800,"Dal@NYG 08:30PM ET",10.560
"TE","Dwayne Allen",3800,"Jax@Ind 01:00PM ET",10.540
"RB","Benny Cunningham",3800,"StL@SD 04:05PM ET",9.060
"WR","Justin Hunter",3800,"Ten@Phi 01:00PM ET",7.660
"RB","Isaiah Crowell",3800,"Cle@Atl 01:00PM ET",7.340
"WR","Riley Cooper",3700,"Ten@Phi 01:00PM ET",7.860
"RB","Anthony Dixon",3700,"NYJ@Buf 07:00PM ET",3.560
"WR","Jermaine Kearse",3600,"Ari@Sea 04:05PM ET",6.778
"RB","Charles Sims",3600,"TB@Chi 01:00PM ET",6.200
"WR","Greg Jennings",3500,"GB@Min 01:00PM ET",9.430
"WR","Charles Johnson",3500,"GB@Min 01:00PM ET",4.450
"WR","Cordarrelle Patterson",3500,"GB@Min 01:00PM ET",8.750
"DST","Packers ",3400,"GB@Min 01:00PM ET",10.600
"DST","Eagles ",3400,"Ten@Phi 01:00PM ET",13.500
"TE","Jacob Tamme",3400,"Mia@Den 04:25PM ET",3.080
"RB","Ben Tate",3400,"Cle@Atl 01:00PM ET",9.413
"RB","Bobby Rainey",3400,"TB@Chi 01:00PM ET",10.380
"WR","Robert Woods",3400,"NYJ@Buf 07:00PM ET",8.510
"RB","Terrance West",3400,"Cle@Atl 01:00PM ET",8.744
"DST","Bills ",3300,"NYJ@Buf 07:00PM ET",9.900
"DST","Patriots ",3300,"Det@NE 01:00PM ET",9.400
"DST","Cardinals ",3300,"Ari@Sea 04:05PM ET",10.300
"TE","Garrett Graham",3300,"Cin@Hou 01:00PM ET",3.956
"TE","Jermaine Gresham",3300,"Cin@Hou 01:00PM ET",7.890
"RB","Matt Asiata",3300,"GB@Min 01:00PM ET",11.700
"TE","Jordan Cameron",3300,"Cle@Atl 01:00PM ET",7.833
"TE","Jordan Reed",3300,"Was@SF 04:25PM ET",7.817
