PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Derek Carr, Oak QB		WA (Wed)			KC	W 24-20		18/35	174	1	0		3	2	0		0	0	0	0		0	0	0		10
Andre Williams, NYG RB		Solo			Dal	L 28-31		0/0	0	0	0		10	35	1		1	12	0	2		0	0	0		10
Bengals D/ST D/ST		WA (Wed)			@Hou	W 22-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Jaguars D/ST D/ST		WA (Wed)			@Ind	L 3-23		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		10
Shayne Graham, NO K		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Jason Witten, Dal TE		GREG			@NYG	W 31-28		0/0	0	0	0		0	0	0		4	30	1	6		0	0	0		9
Roddy White, Atl WR		NOMS			Cle	L 24-26		0/0	0	0	0		0	0	0		9	96	0	10		0	0	0		9
Mike Nugent, Cin K		GREG			@Hou	W 22-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Vincent Jackson, TB WR		PERO			@Chi	L 13-21		0/0	0	0	0		0	0	0		5	117	0	9		0	1	0		9
Darren Sproles, Phi RB		BALS			Ten	W 43-24		0/0	0	0	0		6	25	1		3	14	0	4		0	0	0		9
Greg Jennings, Min WR		CHB			GB	L 21-24		0/0	0	0	0		0	0	0		4	38	1	6		0	0	0		9
Anthony Fasano, KC TE		WA (Wed)			@Oak	L 20-24		0/0	0	0	0		0	0	0		2	30	1	2		0	0	0		9
Matthew Stafford, Det QB		LIND			@NE	L 9-34		18/46	264	0	1		3	18	0		0	0	0	0		0	0	0		9
Brandon LaFell, NE WR		BOSS			Det	W 34-9		0/0	0	0	0		0	0	0		9	98	0	12		0	0	0		9
Mike Wallace, Mia WR		DC00			@Den	L 36-39		0/0	0	0	0		0	0	0		4	35	1	5		0	0	0		9
Andrew Hawkins, Cle WR		Solo			@Atl	W 26-24		0/0	0	0	0		0	0	0		5	93	0	5		0	0	0		9
Torrey Smith, Bal WR		BALS			@NO	W 34-27		0/0	0	0	0		0	0	0		5	98	0	6		0	0	0		9
Daniel Thomas, Mia RB		WA (Wed)			@Den	L 36-39		0/0	0	0	0		3	19	1		0	0	0	0		1	0	0		9
Blair Walsh, Min K		Solo			GB	L 21-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Tavon Austin, StL WR		WA (Wed)			@SD	L 24-27		0/0	0	0	0		3	27	1		3	11	0	3		0	0	0		9
Kenny Stills, NO WR		WA (Wed)			Bal	L 27-34		0/0	0	0	0		1	-2	0		8	98	0	9		0	0	0		9
Redskins D/ST D/ST		WA (Wed)			@SF	L 13-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		9
Matt Bryant, Atl K		WA (Wed)			Cle	L 24-26		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		8
Scott Chandler, Buf TE		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		0	0	0		3	28	1	3		0	0	0		8
Julian Edelman, NE WR		NOMS			Det	W 34-9		0/0	0	0	0		0	0	0		11	89	0	15		0	0	0		8
Jacquizz Rodgers, Atl RB		WA (Wed)			Cle	L 24-26		0/0	0	0	0		3	16	0		3	11	1	3		0	0	0		8
Kai Forbath, Wsh K		WA (Wed)			@SF	L 13-17		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		8
Alshon Jeffery, Chi WR		NOMS			TB	W 21-13		0/0	0	0	0		0	0	0		3	22	1	4		0	0	0		8
Tre Mason, StL RB		WA (Wed)			@SD	L 24-27		0/0	0	0	0		16	62	0		1	26	0	2		0	0	0		8
Cairo Santos, KC K		PERO			@Oak	L 20-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		8
Sebastian Janikowski, Oak K		WA (Wed)			KC	W 24-20		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Wes Welker, Den WR		CHB			Mia	W 39-36		0/0	0	0	0		0	0	0		4	18	1	4		0	0	0		7
Jay Cutler, Chi QB		RUCK			TB	W 21-13		17/27	130	1	0		0	0	0		0	0	0	0		0	1	0		7
Marshawn Lynch, Sea RB  P		LIND			Ari	W 19-3		0/0	0	0	0		15	39	0		3	43	0	4		0	0	0		7
Mason Crosby, GB K		WA (Wed)			@Min	W 24-21		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		7
Brian Hoyer, Cle QB		NOMS			@Atl	W 26-24		23/40	322	0	3		3	12	0		0	0	0	1		0	0	0		7
Shonn Greene, Ten RB		DC00			@Phi	L 24-43		0/0	0	0	0		6	15	1		0	0	0	0		0	0	0		7
James Casey, Phi TE		WA (Wed)			Ten	W 43-24		0/0	0	0	0		0	0	0		1	14	1	1		0	0	0		7
Dexter McCluster, Ten WR, RB  Q		WA (Wed)			@Phi	L 24-43		0/0	0	0	0		1	2	0		3	15	1	3		0	0	0		7
Rob Gronkowski, NE TE		CHB			Det	W 34-9		0/0	0	0	0		0	0	0		5	78	0	10		0	0	0		7
